client_id,client_name,industry,country,currency,language,timezone,subscription_id,registration_number,vat_number,financial_year_start,status,activation_date,inactivation_date
1001,Jennings LLC,Restaurant,UK,GBP,English,Europe/London,3,LB332181,VAT001338,01-Apr,Active,2023-10-27,
1002,Moore Ltd,Cafe,UK,GBP,English,Europe/London,1,Za863794,VAT265423,01-Apr,Active,2023-09-28,
1003,Warner-Palmer,Food Court,UK,GBP,English,Europe/London,1,Ih559407,VAT618495,01-Apr,Active,2024-02-01,
1004,Campbell Inc,Restaurant,UK,GBP,English,Europe/London,1,rD341316,VAT525534,01-Apr,Active,2023-09-09,
1005,"Miah, John and Thompson",Cafe,UK,GBP,English,Europe/London,5,oR327648,VAT503056,01-Apr,Inactive,2023-12-15,2025-02-02
1006,Johnston PLC,Food Court,UK,GBP,English,Europe/London,2,qi537672,VAT388496,01-Apr,Active,2022-08-08,
1007,"Matthews, Lloyd and Turner",Food Court,UK,GBP,English,Europe/London,4,Ok871012,VAT691669,01-Apr,Active,2024-05-15,
1008,"Smith, Fisher and Hewitt",Food Court,UK,GBP,English,Europe/London,3,Bk184514,VAT704828,01-Apr,Active,2023-06-16,
1009,Taylor LLC,Restaurant,UK,GBP,English,Europe/London,2,IX893252,VAT809570,01-Apr,Active,2024-05-26,
1010,Shaw-Holden,Cloud Kitchen,UK,GBP,English,Europe/London,3,fU430391,VAT718227,01-Apr,Active,2022-09-12,
1011,Pritchard PLC,Cloud Kitchen,UK,GBP,English,Europe/London,1,QP638346,VAT578713,01-Apr,Active,2023-08-19,
1012,Haynes PLC,Restaurant,UK,GBP,English,Europe/London,3,TO839301,VAT031051,01-Apr,Inactive,2022-12-09,2025-02-14
1013,King-Stevens,Food Court,UK,GBP,English,Europe/London,3,ZA299737,VAT311656,01-Apr,Active,2022-12-19,
1014,Taylor-Holloway,Bakery,UK,GBP,English,Europe/London,5,mm106513,VAT872624,01-Apr,Active,2023-05-03,
1015,Gardiner Inc,Bakery,UK,GBP,English,Europe/London,1,fW781080,VAT326773,01-Apr,Active,2023-06-12,
1016,Poole-O'Brien,Food Court,UK,GBP,English,Europe/London,3,SU064746,VAT872343,01-Apr,Active,2024-04-19,
1017,"Newman, Long and Sinclair",Restaurant,UK,GBP,English,Europe/London,1,dG097882,VAT121913,01-Apr,Active,2022-08-02,
1018,Howarth PLC,Cloud Kitchen,UK,GBP,English,Europe/London,1,AQ399091,VAT998543,01-Apr,Active,2023-04-27,
1019,"McLean, Phillips and Clarke",Restaurant,UK,GBP,English,Europe/London,4,NK475107,VAT118384,01-Apr,Active,2023-11-20,
1020,Wallace-Shaw,Cloud Kitchen,UK,GBP,English,Europe/London,2,NZ542784,VAT808412,01-Apr,Active,2022-09-28,
1021,Chhabra Ltd,Cafe,India,INR,English,Asia/Kolkata,3,Tv824493,VAT348740,01-Apr,Active,2023-01-09,
1022,"Sampath, Malhotra and Basu",Restaurant,India,INR,English,Asia/Kolkata,5,JT052427,VAT680112,01-Apr,Active,2022-08-28,
1023,Pingle PLC,Food Court,India,INR,English,Asia/Kolkata,2,xY826204,VAT053315,01-Apr,Active,2023-08-15,
1024,"Ray, Dubey and Khalsa",Bakery,India,INR,English,Asia/Kolkata,3,YA226025,VAT342160,01-Apr,Active,2024-02-13,
1025,Kapadia-Iyengar,Food Court,India,INR,English,Asia/Kolkata,2,Qm754330,VAT654145,01-Apr,Active,2024-04-14,
1026,"Ratta, Yadav and Narula",Restaurant,India,INR,English,Asia/Kolkata,2,cg014294,VAT965569,01-Apr,Active,2023-10-29,
1027,Rajan PLC,Cloud Kitchen,India,INR,English,Asia/Kolkata,4,ZI340608,VAT356159,01-Apr,Active,2023-07-20,
1028,"Dash, Mital and Tripathi",Cafe,India,INR,English,Asia/Kolkata,5,im465648,VAT662994,01-Apr,Active,2023-02-16,
1029,"Acharya, Modi and Mangat",Cloud Kitchen,India,INR,English,Asia/Kolkata,2,CC369957,VAT387214,01-Apr,Active,2023-04-29,
1030,"Nayak, Chander and Keer",Bakery,India,INR,English,Asia/Kolkata,4,pE433200,VAT917693,01-Apr,Active,2023-07-23,
